entrance_id,criterion,truth,labeled_by,labeled_at
E-001,ramp_or_bevel,,,
E-001,handrails,,,
E-001,accessible_door_hardware,,,
E-001,accessibility_signage,,,
E-002,ramp_or_bevel,,,
E-002,handrails,,,
E-002,accessible_door_hardware,,,
E-002,accessibility_signage,,,
E-003,ramp_or_bevel,,,
E-003,handrails,,,
E-003,accessible_door_hardware,,,
E-003,accessibility_signage,,,
E-004,ramp_or_bevel,,,
E-004,handrails,,,
E-004,accessible_door_hardware,,,
E-004,accessibility_signage,,,
E-005,ramp_or_bevel,,,
E-005,handrails,,,
E-005,accessible_door_hardware,,,
E-005,accessibility_signage,,,
E-006,ramp_or_bevel,,,
E-006,handrails,,,
E-006,accessible_door_hardware,,,
E-006,accessibility_signage,,,
E-007,ramp_or_bevel,,,
E-007,handrails,,,
E-007,accessible_door_hardware,,,
E-007,accessibility_signage,,,
E-008,ramp_or_bevel,,,
E-008,handrails,,,
E-008,accessible_door_hardware,,,
E-008,accessibility_signage,,,
E-010,ramp_or_bevel,,,
E-010,handrails,,,
E-010,accessible_door_hardware,,,
E-010,accessibility_signage,,,
E-011,ramp_or_bevel,,,
E-011,handrails,,,
E-011,accessible_door_hardware,,,
E-011,accessibility_signage,,,
E-016,ramp_or_bevel,,,
E-016,handrails,,,
E-016,accessible_door_hardware,,,
E-016,accessibility_signage,,,
E-017,ramp_or_bevel,,,
E-017,handrails,,,
E-017,accessible_door_hardware,,,
E-017,accessibility_signage,,,
E-018,ramp_or_bevel,,,
E-018,handrails,,,
E-018,accessible_door_hardware,,,
E-018,accessibility_signage,,,
E-020,ramp_or_bevel,,,
E-020,handrails,,,
E-020,accessible_door_hardware,,,
E-020,accessibility_signage,,,
E-022,ramp_or_bevel,,,
E-022,handrails,,,
E-022,accessible_door_hardware,,,
E-022,accessibility_signage,,,
E-024,ramp_or_bevel,,,
E-024,handrails,,,
E-024,accessible_door_hardware,,,
E-024,accessibility_signage,,,
E-025,ramp_or_bevel,,,
E-025,handrails,,,
E-025,accessible_door_hardware,,,
E-025,accessibility_signage,,,
E-026,ramp_or_bevel,,,
E-026,handrails,,,
E-026,accessible_door_hardware,,,
E-026,accessibility_signage,,,
E-027,ramp_or_bevel,,,
E-027,handrails,,,
E-027,accessible_door_hardware,,,
E-027,accessibility_signage,,,
E-029,ramp_or_bevel,,,
E-029,handrails,,,
E-029,accessible_door_hardware,,,
E-029,accessibility_signage,,,
E-030,ramp_or_bevel,,,
E-030,handrails,,,
E-030,accessible_door_hardware,,,
E-030,accessibility_signage,,,
E-031,ramp_or_bevel,,,
E-031,handrails,,,
E-031,accessible_door_hardware,,,
E-031,accessibility_signage,,,
E-032,ramp_or_bevel,,,
E-032,handrails,,,
E-032,accessible_door_hardware,,,
E-032,accessibility_signage,,,
E-033,ramp_or_bevel,,,
E-033,handrails,,,
E-033,accessible_door_hardware,,,
E-033,accessibility_signage,,,
E-034,ramp_or_bevel,,,
E-034,handrails,,,
E-034,accessible_door_hardware,,,
E-034,accessibility_signage,,,
E-035,ramp_or_bevel,,,
E-035,handrails,,,
E-035,accessible_door_hardware,,,
E-035,accessibility_signage,,,
E-036,ramp_or_bevel,,,
E-036,handrails,,,
E-036,accessible_door_hardware,,,
E-036,accessibility_signage,,,
E-037,ramp_or_bevel,,,
E-037,handrails,,,
E-037,accessible_door_hardware,,,
E-037,accessibility_signage,,,
E-038,ramp_or_bevel,,,
E-038,handrails,,,
E-038,accessible_door_hardware,,,
E-038,accessibility_signage,,,
E-039,ramp_or_bevel,,,
E-039,handrails,,,
E-039,accessible_door_hardware,,,
E-039,accessibility_signage,,,
E-040,ramp_or_bevel,,,
E-040,handrails,,,
E-040,accessible_door_hardware,,,
E-040,accessibility_signage,,,
E-041,ramp_or_bevel,,,
E-041,handrails,,,
E-041,accessible_door_hardware,,,
E-041,accessibility_signage,,,
E-042,ramp_or_bevel,,,
E-042,handrails,,,
E-042,accessible_door_hardware,,,
E-042,accessibility_signage,,,
E-043,ramp_or_bevel,,,
E-043,handrails,,,
E-043,accessible_door_hardware,,,
E-043,accessibility_signage,,,
E-045,ramp_or_bevel,,,
E-045,handrails,,,
E-045,accessible_door_hardware,,,
E-045,accessibility_signage,,,
E-046,ramp_or_bevel,,,
E-046,handrails,,,
E-046,accessible_door_hardware,,,
E-046,accessibility_signage,,,
E-047,ramp_or_bevel,,,
E-047,handrails,,,
E-047,accessible_door_hardware,,,
E-047,accessibility_signage,,,
E-048,ramp_or_bevel,,,
E-048,handrails,,,
E-048,accessible_door_hardware,,,
E-048,accessibility_signage,,,
E-049,ramp_or_bevel,,,
E-049,handrails,,,
E-049,accessible_door_hardware,,,
E-049,accessibility_signage,,,
E-050,ramp_or_bevel,,,
E-050,handrails,,,
E-050,accessible_door_hardware,,,
E-050,accessibility_signage,,,
E-051,ramp_or_bevel,,,
E-051,handrails,,,
E-051,accessible_door_hardware,,,
E-051,accessibility_signage,,,
E-052,ramp_or_bevel,,,
E-052,handrails,,,
E-052,accessible_door_hardware,,,
E-052,accessibility_signage,,,
E-053,ramp_or_bevel,,,
E-053,handrails,,,
E-053,accessible_door_hardware,,,
E-053,accessibility_signage,,,
E-054,ramp_or_bevel,,,
E-054,handrails,,,
E-054,accessible_door_hardware,,,
E-054,accessibility_signage,,,
E-055,ramp_or_bevel,,,
E-055,handrails,,,
E-055,accessible_door_hardware,,,
E-055,accessibility_signage,,,
E-056,ramp_or_bevel,,,
E-056,handrails,,,
E-056,accessible_door_hardware,,,
E-056,accessibility_signage,,,
E-057,ramp_or_bevel,,,
E-057,handrails,,,
E-057,accessible_door_hardware,,,
E-057,accessibility_signage,,,
E-058,ramp_or_bevel,,,
E-058,handrails,,,
E-058,accessible_door_hardware,,,
E-058,accessibility_signage,,,
E-059,ramp_or_bevel,,,
E-059,handrails,,,
E-059,accessible_door_hardware,,,
E-059,accessibility_signage,,,
E-060,ramp_or_bevel,,,
E-060,handrails,,,
E-060,accessible_door_hardware,,,
E-060,accessibility_signage,,,
E-061,ramp_or_bevel,,,
E-061,handrails,,,
E-061,accessible_door_hardware,,,
E-061,accessibility_signage,,,
E-063,ramp_or_bevel,,,
E-063,handrails,,,
E-063,accessible_door_hardware,,,
E-063,accessibility_signage,,,
E-064,ramp_or_bevel,,,
E-064,handrails,,,
E-064,accessible_door_hardware,,,
E-064,accessibility_signage,,,
