capture_id,entrance_id,image_sha256,depth_sha256,sidecar_sha256,split
E-001-3217,E-001,96de2fd15a40fa22368df173ced7c91d7ddeb606239bad400b31415b41b70ce9,,0fc3a4a1ebeb6dac53d814f3fa2d6d0e48b6c5d90c61415d1365e3aa71e229fb,dev
E-001-3218,E-001,78a84749ae036f827bec38d105b61fc8fc0433a5f3cab32665dda79ad6270e85,,fb502feaa241294fc7c908ecfe65419fa02aacf8b2fff6ac90107fdc257ce7ca,dev
E-001-3219,E-001,47e0d699895d5dfdb761223088133fd37ac9cf22727e0bacce372683ec640391,,be3905ac857ce1a26af6589042ce4761a7f7f8e0efad643e2c09c02ab5776b01,dev
E-001-3220,E-001,569c5199f5da395096ec251d6ea720d393b39e11610907b2aedd53bd02df702b,,004ef6c9f3126e403bd84d5b0194e384bdb82fa9ff1bb549d121ee5ee77c35f5,dev
E-002-3223,E-002,b5a4f7009955319631cdd8bda3853f64e03005bc48292b7a0bb314ef9816d146,,234fc5f50351c390d9ba77dd9bdb8e855dc2318c24744c316dc5138db2b104fe,sealed
E-002-3224,E-002,ac0741aa550ee29f64ba74bee9413490b05555e1e7f3fbd5fedf93aa24ac02a3,,4d56cfd2cde8e87eafc5bf25777534833cfc8be75d6b817aeeb5e7a4bd770b62,sealed
E-002-3227,E-002,8eb6a4cec8f380bfd5c1d3e5b9e60fbb39b247bbbcbf4d3623e4210dec227856,,fe070295d984a0992c8e637ecceefbe882297c86faf5ffc533c1ade845a828a2,sealed
E-003-3228,E-003,3c9b7696383551ff0ba04188c237c0a03cabbc2850d7101f92695bb466603dcf,,32c6d7604c4812c921f1b51ac7a7cac69d3b5cba986fd7eccdfd20dfb0102128,dev
E-003-3230,E-003,c672d7bdb049b9baebbb40e62f443c85b5456ff7dd4a37255656cef9f55b1c8c,,dd9da1603c6bb7a5abd270a0d9594db58f2e8c97d21a93424abcbda423e812e2,dev
E-003-3231,E-003,bf3410b77b4c1321f1c90a35dfb3fc78e0a150f722f5d78a2ec123bac3d5c2d8,,7ce55a1256d99342ba0bfc425937957a4d10a81ebed091f09508075b9e713019,dev
E-003-3232,E-003,e97d9c693eeddf9240dcb7a6a0eb37fc82dc846a346a0b832da0e7e9e21aec71,,626062c72268ba6728f0ff037deafdf23866cd41edd9baebcdb5b0138e2b8a30,dev
E-003-3233,E-003,5f40356702d071de3214d71c7b4faec276cd5fab96e95bb6218ce347e306d99a,,89f0d8f9e623279f193402a0fd02cd3494ee4d7c7757791e91f67fb6bf59cec0,dev
E-004-3234,E-004,7a40f8c3ec8bd3ca35026e5162e280e05d3a8d1f95cc99137500a915a1ba4d36,,ac56ab6f8019ca7469a02e1c2b4541ef6af7eb62730d49bd20e75a9e9d91797b,calib
E-004-3235,E-004,3583c735a0cd045807ddcee35ce611b4a80bbf4f133c92c31bf74297b7d3b9a7,,f379cb9ff218b08621531b180330964170c128b7f532cb06246f0af59f30cf83,calib
E-004-3236,E-004,80b4431a9e7ac8e695a62903bda01f8a43936cf68643c857b773589bf6822b6b,,cdbc534be59aa804b4bc9a93400e8c2d4f6824b2f0901ad69a0cba598fc18138,calib
E-004-3238,E-004,2c627ee0d83147275cf2f6c9d2f877274c6af005222463d5ec16728722b78875,,63fbb439226939136172cc23dace11e3312637c27bb2a4931e8e79ec9f892147,calib
E-004-3239,E-004,8824674feee59a446e5a066156a1445f2a2a795d0b8cf63713a9866636e260ad,,be79fc271ca553ae85c33aa855aa37d9cbddff7de5b1c38bdf6f91b848caee01,calib
E-005-3241,E-005,28b77f2da36ac3819c37f04d188171db6fae9dc1ec27233a0a641d6afc54581f,,85e877a08d6ee6287c021f042ff2d5494f19930bbd838911058808aff7ebe14d,sealed
E-005-3242,E-005,8f94c0d976e8c3c6f0bd34e588032b487a3d8f03b0c08c1387e473a1a4e33ae0,,35b9f2b48d560ec5748f233e01f78189144c8ba931f6ec63a7c23ea2bb304249,sealed
E-005-3243,E-005,b6f4539677accdcc703818a9e966eac9de8198fd59c5c83b1dba2bc4d5c425ef,,ed5acc13d5e4187ac09eb61aab26ccc16acffbb12a0f8893191a7644cfa9cc35,sealed
E-005-3245,E-005,9fd5baa698151fd0d73f706cea15744188c8dff3cd491aa33da55a0ef262176f,,4a03731a937658cf2e1fad6f7c8a70ac0ffe2ef4b41d5f6630ad9f1060b09593,sealed
E-005-3246,E-005,b126b04d838d0c9cf95382c2d35e0855127f341df171705d0ac5ff155db5603b,,951cb3a37620c51e50466208d248119c0d4cae46d2785076b8ef88071f581ec1,sealed
